crate_name,version
retry-policies,0.1.2
retty,0.23.3
retty-io,0.3.0
reunion,0.1.14
revai,0.5.0
revault_tx,0.5.0
revaultd,0.4.0
revel-taglib,2.0.1
reverie-engine,0.0.6
reverie-zk,0.3.2
reversi-game,0.3.3
review,0.4.1
revonet,0.2.1
rew,0.3.0
rews,0.4.5
rexcli,0.18.4
rexpaint,0.1.1
rexpect,0.5.0
rexrocksdb,0.3.2
rexsgdata,0.12.0
rfc1751,0.1.0
rfd,0.11.3
rfesi,0.15.1
rff,0.3.0
rfs_tester,0.2.1
rftp,0.1.7
rfw,0.2.0
rfyl,0.3.1
rg3d,0.24.0
rg3d-core,0.19.0
rgb-core,0.10.1
rgb-emu,0.1.1
rgb-lightning,0.0.1
rgb-lightning-sample,0.0.1
rgb-std,0.10.0
rgb-wallet,0.10.0
rgb24,0.3.1
rgb_int,0.1.3
rgen,0.5.0
rgen3-save,0.1.0
rgeometry,0.9.0
rgit,0.10.0
rglua,3.0.0-beta2
rgmsh,0.1.2
rgpt,0.3.0
rgrow,0.7.1
rgx,0.8.1
rhachis,0.11.0
rhai-dylib,0.1.8
rhai-memflow,0.1.2
rhai-rand,0.1.5
rhdxmr-publish-test3,0.1.0
rhttp,0.0.1
rhuffle,0.3.3
rhymuproc,1.1.2
rhyoea,0.1.0
rhythmc,0.0.2
ri2p,1.0.0
ribir_core,0.0.0
ribir_gpu,0.0.0
ribir_macros,0.0.0
ric,0.1.2
import_map,0.15.0
impulse_response,0.6.1
imuxin-delta-lib,0.0.2
imxrt-hal,0.5.2
imxrt-log,0.1.1
imxrt-rt,0.1.1
imxrt-uart-log,0.2.0
imxrt-usbd,0.2.1
in-toto,0.3.0
in3,0.1.8
in_stream,0.0.52-alpha2
inc,0.1.3
include-crypt-bytes-cipher,0.1.1
include-crypt-crypto,0.1.0
incr_stats,1.0.1
incremental,0.1.1
incremental-topo,0.2.1
index-ext,1.0.0-beta.0
index-utils,2.2.0
index_list,0.2.7
indexed_bitvec,4.0.1
indexed_bitvec_core,4.0.0
indexed_file,0.1.2
indexing,0.4.1
indexlist,0.1.0
indexmap,1.9.3
indexmap-amortized,1.6.1
indexmap-rmw,1.6.3
indexsort,0.1.0
indi,3.0.0
indicatif,0.17.3
indieweb,0.1.15
indigo,0.1.3
inditech,0.1.0
indradb-lib,4.0.0
industrial-io,0.5.2
indy,1.16.0-post-286
indy-credx,0.3.1
indy-crypto,0.5.1-rc-1
indy-data-types,0.5.1
indy-sdk,0.1.1
indy-utils,0.5.0
indy-vdr,0.3.4
indy-wql,0.4.0
indymilter,0.2.0
inertia,0.2.5
inertia-core,0.4.0
inexor-rgf-core-model,0.9.1
inexor-rgf-plugin-connector,0.9.1
inexor-rgf-rt,0.9.1
inferno,0.11.15
infinitree,0.10.1
informa,0.2.0
informalsystems-prost,0.8.1
informalsystems-tonic,0.5.2
ingrid_core,1.0.0
inid_rs,0.1.2
initials,0.1.2
initials-revamped,0.1.2
inject-lib,0.3.3
injective-cosmwasm,0.1.99
injector,0.0.1
inkwell,0.2.0
inkwell_llvm12,0.1.2
inline-python,0.10.0
inline-vbs,0.4.0
inlyne,0.2.1
inmemory-keyvalue,0.4.0
inn-network,0.1.1
innisfree,0.2.16
inotify,0.10.0
input-device,0.2.2
input-stream,0.4.0
input-sys,1.17.0
input_helper,0.1.2
inputplug,0.4.0
inputsynth,0.1.2
inquisitor-core,0.9.0
instagram-web-api,0.1.2
instant-distance,0.6.0
instrument,0.2.0
instrumented-stepanov,1.1.2
inta,0.1.2
intarray,0.1.0
integer_angles,0.2.0
integrators,0.0.3
intel-mediasdk-sys,0.1.0
intel-mkl-sys,0.8.1
intel-seapi,0.3.1
intel-seapi-sys,0.2.0
intel-spi,0.1.5
intel_tex,0.1.4
intel_tex_2,0.2.2
intelli-shell,0.1.3
interact,0.3.6
interactsh-rs,0.3.0
interception-sys,0.1.3
interceptor,0.8.2
interchange,0.3.0
intercom,0.4.0
interfaces,0.0.8
interfaces2,0.0.5
interledger-btp,0.4.0
interledger-settlement,0.3.0
interledger-settlement-engines,0.2.0
interledger-store-redis,0.4.0
interlock,0.0.3
intermodal-rs,0.0.4
intern-arc,0.6.0
internet-checksum,0.2.1
internet2,0.9.0
internment,0.7.0
interoptopus_reference_project,0.14.15
interp1d,0.2.0
interprocess,1.2.1
interrupt,0.1.3
intersect2d,0.4.2
intertrait,0.2.2
interval-heap,0.0.5
intervals-good,0.1.1
intervals-rs,0.0.5
intfic,0.3.8
inthrustwetrust,0.1.0
intmap,2.0.0
intricate,0.7.0
introsort,0.6.0
intrusive-collections,0.9.5
intrusive-containers,0.2.4
intspector,1.1.1
intuicio-frontend-simpleton,0.11.1
investments,4.19.0
io-arrays,0.12.2
io-at,0.4.1
io-mux,1.4.0
io-reactor,0.1.2
io-streams,0.14.3
io-uring,0.6.0
io_check,0.1.2
iocage-provision,0.2.0
iocuddle,0.1.1
iodyn,0.2.1
iomrascalai,0.1.7
ion-c-sys,0.4.17
iop-hydra-proto,0.0.16
iop-hydra-sdk,0.0.16
iop-keyvault,0.0.16
iop-morpheus-node,0.0.16
iop-morpheus-sdk,0.0.16
iop-sdk,0.0.16
ios7crypt,0.0.5
ioslice,0.6.0-alpha.2
iot_center,0.0.1
iot_device_bridge,1.1.1
iota-crypto,0.18.0
iota-editor,0.1.0
iota-sdk,0.3.0
iota-signing-preview,0.1.0
iota-ternary-preview,0.1.0
iota-types,1.0.0-rc.7
iota-wallet,1.0.0-rc.6
iota_stronghold,1.1.0
iou,0.3.3
iovec,0.1.4
ip2location-ip2proxy,0.4.0
ip2region,0.1.0
ip_network_table-deps-treebitmap,0.5.0
ipaddress,0.1.3
ipasir-sys,0.3.0
ipc,0.2.0
ipc-chan,0.8.0
ipc-channel,0.16.0
ipc-communication,0.6.0
ipc-rs,0.4.2
ipfixrw,0.1.0
ipfs-embed,0.26.0
ipfs-unixfs,0.2.0
ipipe,0.11.7
ipjdb,0.16.0
ipld-block-builder,0.4.1
ipld-schema,0.3.2
ipld_traversal,0.2.2
ipmpsc,0.5.1
ipopt-sys,0.5.5
iprange,0.6.7
iprs,0.0.4
ipset,0.3.0
ipset_lookup,0.4.4
iptables,0.5.0
iptool,0.1.0
iracing,0.4.1
iracing-telem,0.2.0
irc-rust,0.4.0
ire,0.0.1
irelia,0.2.0
iridescent,0.2.1
iris-ng,0.1.2
irkle,0.1.0-pre.1
irmaseal-core,0.2.0-beta.2
irmin,0.3.3
iroh,0.4.1
iroh-bitswap,0.2.0
iroh-gateway,0.2.0
iroh-p2p,0.2.0
iroh-resolver,0.2.0
iroh-store,0.2.0
iroh-unixfs,0.2.0
iroh-util,0.2.0
iron-arrow,0.1.0
iron-dsc-csrf,0.1.0
iron-hmac,0.6.0
iron-pack,0.3.0
iron-sessionstorage,0.6.6
iron-sessionstorage-0-6,0.6.6
iron-sessionstorage2,0.7.1
iron-shapes,0.0.8
iron-shapes-booleanop,0.0.3
irona,0.1.1
ironbar,0.11.0
ironcore-search-helpers,0.2.0
irondash_message_channel,0.1.0
irondash_run_loop,0.1.2
ironoxide,2.0.0
ironsort,0.1.0
irp,0.3.2
irq,0.2.3
irrgarten,0.1.1
irsc,0.1.1
irssi-sys,0.1.0
irust,1.70.0
is-prime-for-primitive-int,0.5.1
is-terminal,0.4.7
is_affected_lib,0.1.1
is_computer_on,1.0.0
is_effected,0.4.1
is_main_thread,0.1.0
is_sorted,0.1.1
is_sudo,0.0.1
is_superuser,1.0.1
isa-l-erasure-coder,0.1.0
isahc,1.7.2
isahc-opendal-workaround,2.0.0-opendal.1
isap-aead,0.2.1
isaribi,0.2.4
iset,0.2.2
ising_lib,1.0.0
isl-rs,0.1.3
isla-lib,0.2.0
ism330dhcx,0.5.1
iso8583_rs,0.1.10
iso8601-timestamp,0.2.10
iso9660,0.1.1
isolated,0.2.0
isolation_forest,1.1.0
isosurface,0.1.0-alpha.0
ispc-tex,0.1.0
ispc-texcomp,0.1.20
iterative_methods,0.2.1
itertools,0.10.5
itm,0.9.0-rc.1
itm-decode,0.6.1
itoap,1.0.1
ittapi,0.3.3
ittapi-sys,0.3.3
itui,0.7.0
ivy-vulkan,0.10.3
iwlib,0.1.0
iwls,0.0.3
ixlist,0.1.0
iyzipay-rust,0.1.2
izihawa-common-multipart,1.1.7
izihawa-fst,0.4.0
j4rs,0.15.3
ja3,0.5.1
ja3-livecapture,0.5.0
ja3-new,0.5.0
ja3-rustls,0.0.5
jab,0.0.1
jabba-lib,0.1.8
jabcode,1.1.0
jack,0.11.4
jagged_array,0.2.4
jago,0.1.1
jail,0.2.0
jail_exporter,0.16.1
jalali,0.1.0
jammdb,0.9.0
jamml,0.1.2
janetrs,0.5.0
janetrs_version,0.1.0
jansson-sys,0.1.0
janus-plugin,0.13.0
janus_client,0.2.21
janus_collector,0.2.21
janus_core,0.2.21
janus_messages,0.2.21
jasmine-db,0.1.1
javascriptcore-rs-sys,1.0.0
javascriptcore5-rs-sys,0.3.1
javascriptcore6-sys,0.1.0
jaz,0.0.4
jazz,0.2.2
jazz-telepathy,0.1.1
jbig2dec,0.3.1
jcompiler,0.1.0
jean_alignment,0.1.0
jeans,0.1.4
jeep,0.0.1
jelly-mem_access,0.1.8
jellyfish,0.11.0-alpha.4
jellyschema,0.11.10
jemalloc-ctl,0.5.0
jemalloc-sys,0.5.3+5.3.0-patched
jemallocator,0.5.0
jetkcli,0.1.2-alpha1
jex,0.2.0
jffs2,0.2.1
jh-rs,0.1.0
jieba-rs,0.6.7
jieba-rs-siro,0.6.7
jimage,0.2.4
jindex,0.10.0
jinko,0.3.0-jinx7
jirachi,0.1.9
jit,0.9.1
jit-sys,0.1.3
jit_rs-sys,0.1.3
jja,0.4.1
jl-sys,0.20.1
jless,0.8.0
jmbl,0.6.0
jmt,0.5.0
jmt-blake3,0.1.2
jmx,0.2.1
jni,0.21.1
jni-bindgen,0.0.10
jni-bindgen-reflection,0.0.10
jni-glue,0.0.10
joat,0.0.7
jobrog,1.1.0
jobserver,0.1.26
jobslot,0.2.11
jobsteal,0.5.1
jobsys,0.2.0
join,0.3.1
joindoe,0.1.0
jointhedots,0.1.0
jolly,0.2.0
josekit,0.8.3
josephus,0.0.0
josh,22.4.15
joshuto,0.9.4
jotaro-sys,0.1.2
jotta-osd,0.1.1
journald,0.7.0
journaldb,0.2.0
journaled,0.0.1
jp2k,0.3.1
jp_utils,0.1.0
jpeg-decoder,0.3.0
jpegxr,0.2.6
jps,1.1.1
jreflection,0.0.11
js-function-promisify,0.2.1
js-sandbox,0.2.0-rc.1
js-source-scopes,0.3.1
js-sys,0.3.61
jsaas,0.5.0
jscjs_sys,0.0.3
jsdoc,0.102.12
jsexec,0.1.7
jsmn-rs,0.2.0
json-digest,0.0.16
json-gen,0.2.3
json-generator-rand,0.2.0
json-job-dispatch,3.0.1
json-patch,1.0.0
json-rpc2,0.11.1
json-rules-engine,0.9.4
json-rules-engine-fork,0.9.7
json-surf,0.9.0
json-trait-rs,0.11.0
json_env_logger,0.1.1
json_env_logger2,0.2.1
jsonc_tools,0.0.1
jsonlogic-rs,0.2.3
jsonnet-rs,0.17.0
jsonnet-sys,0.17.0
jsonpath-plus,0.1.9
jsonpath_lib,0.3.0
jsonpath_lib-fl,0.3.7
jsonrpc-pubsub,18.0.0
jsonrpc-utils,0.2.0
jsonrpsee-core,0.18.1
jsonrpsee-utils,0.6.1
jsonschema-transpiler,1.10.0
jsonwebkey,0.3.5
jsonwebtoken-rustcrypto,1.2.0
jss-core,0.2.0
jstime_core,0.46.0
jtd-fuzz,0.2.0
jubako,0.1.0
juggernaut,0.9.0
juggle,0.1.1
juice,0.3.0
jujube,0.1.1
jujube-lib,0.1.1
jujutsu,0.7.0
jujutsu-lib,0.7.0
julia,0.2.5
julia-set,0.1.0
julia-sys,0.2.0
julius,1.0.0
jump,0.1.0
jumphash,0.1.8
jumprope,1.1.1
juniper-eager-loading,0.5.1
juper_swap_api,0.0.30
juper_swap_cpi,0.0.25
jupiter,3.1.1
jupyter-client,0.1.0
just,1.13.0
just-argon2,1.2.0
jvmti,0.5.0
jwalk-meta,0.9.1
jwilm-xdo,0.1.2
jwks_client_rs,0.4.1
jwt,0.16.0
jwt-compact,0.7.0
jwt-compact-preview,0.4.0
jwt-simple,0.11.4
jwtk,0.2.4
jwtvault,0.7.0
k,0.30.0
k12sum,0.1.5
k2_tree,0.5.3
k2hash,0.0.1
k2hash-sys,0.0.1
k4a-sys,0.2.0
k4a-sys-temp,0.2.3
k8-client,10.0.1
k8s-sync,0.2.3
k9,0.11.6
kad,0.6.1
kadcast,0.5.0-rc.0
kademlia-dht,1.2.0
kademlia_routing_table,0.6.0
kadmium,0.6.0
kafcat,0.1.2
kafi,0.1.2
kafka,0.9.0
kafka-offsets-parser,0.1.2
kafka-pipe,0.0.0
kafka-proxy,1.0.0
kafka-replicator,0.5.1
kafka_json_processor_core,0.1.2
kahuna,0.3.0
kak-lsp,14.2.0-snapshot
kalavara,0.3.0
kalgan,0.9.1
kalk,3.0.3
kalman-rust,0.2.1
kamino,1.1.1
kanameshiki,0.1.0
kanameshiki-sys,0.1.0
kanata,1.4.0-prerelease-1
kanga-rpm-rs,0.7.0
kangarootwelve,0.1.2
kangarootwelve_xkcp,0.1.5
kanidm,1.1.0-alpha
kanils,1.2.0
kannon,0.0.2
kaolinite,0.6.1
kapiti,0.0.3
karma,0.1.0
karplus,0.1.0
karsher,0.9.0
kas-core,0.13.0
kas-text,0.6.0
kaspa-addresses,0.0.3
kaspa-addressmanager,0.0.3
kaspa-bip32,0.0.3
kaspa-consensus,0.0.3
kaspa-consensus-core,0.0.3
kaspa-core,0.0.3
kaspa-database,0.0.3
kaspa-grpc-core,0.0.3
kaspa-hashes,0.0.3
kaspa-math,0.0.3
kaspa-miner,0.2.0
kaspa-mining,0.0.3
kaspa-muhash,0.0.3
kaspa-notify,0.0.3
kaspa-p2p-flows,0.0.3
kaspa-p2p-lib,0.0.3
kaspa-pow,0.0.3
kaspa-rpc-core,0.0.3
kaspa-txscript,0.0.3
kaspa-utxoindex,0.0.3
kaspa-wallet-core,0.0.3
katalyst,0.2.0
kataru,0.1.0
katex,0.4.6
katex-wasmbind,0.10.0
kayrx,0.18.0
kbremap,1.5.1
kbs2,0.7.2
kbw,0.1.5
kcapi,0.1.6
kcapi-sys,1.4.1
kcp,0.5.1
kcprs,0.5.0
kd-tree,0.5.1
kd_interval_tree,0.1.1
kdash,0.3.6
kdb,0.3.0
kdbplus,0.3.8
kdbx-rs,0.4.0
kdt,0.0.2
kdtree,0.7.0
kdtree-rust,0.1.2
kdtree-simd,0.6.1-alpha.0
kdvtree,0.8.0
keechain-core,0.1.0
keel,0.0.1
keep,0.1.0
keeshond,0.27.0
keeshond_treats,0.13.0
kekbit,0.3.5
kekbit-core,0.2.2
kelk,0.3.0
kem,0.2.0
kepton,0.0.3
keratin,0.2.7
kerbeiros,0.2.2
kerberos_crypto,0.3.6
keri,0.8.2
kernaux,0.7.0
kernaux-sys,0.7.0
kernel,1.1.0
kernel-asound-sys,0.3.0
kernel-density-estimation,0.1.0
kernel_density,0.0.1
kernlog,0.3.1
kerrex-gdnative-sys,0.1.3
ketos,0.12.0
key-message-channel,0.1.0
key_value_service,0.1.10
keybase-bot-api,0.4.2
keyboard-keynames,0.1.2
keybob,0.4.0
keychain-services,0.1.1
keycheck,0.1.0
keygate-jwt,1.4.1
keynesis-core,1.1.0
keypair-rs,0.1.1
keyphrase,0.1.4
keyplace,0.1.1
keyring,2.0.2
keysmith,0.3.1
keystone,0.9.0
keystone-engine,0.1.0
keysync,4.0.0
keyutils,0.2.1
keyvi,0.5.6
kff,0.9.0
kfn-rs,0.3.1-alpha
kg-diag,0.4.0
kg-js,0.8.0
kg-lang,0.1.1
kg-symbol,0.2.0
kg-syntax,0.3.0
kg-tree,0.2.1
kg-utils,0.4.0
khalas,0.2.0
khash,2.0.4
kibi,0.2.2
kickoff,0.7.0
kiddo,2.0.2
kill-desktop,0.3.4
killport,0.8.0
kincaid,0.2.4
kindelia_core,0.1.7
kindness,0.4.0
kinesis-firehose-producer,0.1.2
kingslayer,0.5.5
kioto,0.0.1
kip_db,0.1.0-beta.0
kipa,0.2.10
kiro-editor,0.4.3
kirunadb,0.0.1
kismet-cache,0.2.4
kiss,0.1.0
kissat,0.1.0
kissfft-sys,0.1.0
kitchensink,0.4.2
kitkat,1.1.3
kitsune_p2p,0.2.0
kitsune_p2p_dht,0.2.0
kitsune_p2p_dht_arc,0.2.0
kitsuyui-rust-playground,0.1.6
kitty_pool,0.3.0
kittycad,0.2.8
klickhouse,0.8.5
klo-routines,0.1.0
klt-sys,0.1.0
klu-rs,0.4.0
kmeans,0.2.0
kmeans_colors,0.5.0
kmedoids,0.4.3
kmerutils,0.0.8
kmip-protocol,0.4.3
kmod,0.5.0
knights-tour,0.0.0
knn,0.1.3
knock,0.1.8
knope,0.7.2
knossos,0.2.0
knox,0.4.0
knyst,0.4.2
kobold,0.8.1
kodama,0.3.0
koibumi-core,0.0.8
koibumi-node,0.0.8
koibumi-node-sync,0.0.0
koji,1.5.3
kokai,0.3.1
kolmogorov_smirnov,1.1.0
komorebi,0.1.0
konnoohmachi,1.0.0
konst,0.3.5
kontrak-sqlite,0.1.4
koopa,0.0.6
kord,0.5.16
korean_numbers,0.6.7
korg-syro,0.2.1
koukku,0.1.1
kpal,0.2.2
kpal-plugin,0.2.2
kpostgres_fixture,0.2.0
kqueue,1.0.7
kqueue-sys,1.0.3
kqueue2,0.2.2
kqueue2-sys,0.1.5
krabmaga,0.3.1
kraken_rest_api,0.1.0
kraken_rust_api_client,0.1.0
krankerl,0.13.2
krator,0.6.0
krb5-sys,0.3.0
krecik,1.0.4
kreida,0.0.1
kres,0.1.1
krill,0.12.3
krnl,0.0.2
krs,0.2.4
krustens,4.4.2
krypton,0.1.0-rc.0.1
krystals,0.0.1
kserd,0.5.0
kstat,0.1.0
kstat-rs,0.2.0
ksuid,0.2.0
ksunami,0.1.7
ksw2-sys,0.1.0
ksynth,0.14.0
ktensor,0.1.0
ktm5e-dice,0.1.0
ktra,0.7.0
ktra_ui,0.1.0
ktrl,0.1.8
ku,0.1.0
kube-client,0.82.2
kube-runtime,0.82.2
kubectl-view-allocations,0.16.3
kubernetes,0.2.0
kubernix,0.1.1
kubewarden-policy-sdk,0.9.4
kubie,0.19.3
kudzu,0.1.0
kueue,0.17.2
kukoo,0.1.0
kungfu,0.1.19
kurbo,0.9.4
kurobako_core,0.1.12
kuska-sodiumoxide,0.2.5-0
kuska-ssb,0.4.0
kv-assets,0.2.3
kv-par-merge-sort,0.1.0
kv-trie-rs,0.1.2
kvarn,0.5.0
kvarn-auth,0.1.0
kvdb-persy,0.1.1
kvdb-rocksdb,0.18.0
kvlite,0.1.3
kvm,0.2.0
kvm-bindings,0.6.0
kvm-ioctls,0.13.0
kvm-sys,0.3.0
kvsd,0.1.1
kvx,0.4.0
kwait,0.0.1
kwap,0.10.0
kxkdb,0.0.1
kyber,0.2.0-alpha.2
kyber-pke,0.3.0
kyber-rs,0.1.0-alpha.6
kyotocabinet,0.0.6
kytea-tokenizer,0.9.0
kzen-paillier,0.4.3
kzg,0.6.0
l19_terminal_tictactoe,0.1.2
l1_ir,0.0.52
l2,1.0.3
la,0.2.0
la-rete,0.1.3
lab,0.11.0
label-logger,0.2.0
labhub,0.1.10
labirust,0.3.0
labrador,0.2.2
labrpc,0.2.3
labyrinth,0.0.0
lace,0.1.0
lace_cc,0.1.0
lace_codebook,0.1.0
lace_data,0.1.0
lace_stats,0.1.0
lace_utils,0.1.0
lade,0.6.0
lag,0.1.1
lalrpop,0.20.0
lalrpop-lambda,0.6.1
lalrpop-snap,0.16.0
lambda-rs-platform,2023.1.30
lambda-twist,0.7.0
lambda_runtime_core,0.1.2
lambert-bate,0.1.0
lamcalc,1.0.0
lamellar,0.5.0
laminar,0.5.0
lamport-sig,0.1.1
lamport_ots,0.1.1
lamport_signature,0.1.4
lance,0.4.6
lancelot,0.8.6
landlock,0.2.0
landlord,0.1.1
lando,0.2.1
lang_tester,0.7.3
langcraft_api,0.1.2
langmore,0.3.0
lapack-traits,0.4.0
lapce-wasi-experimental-http,0.10.0
lapjv,0.2.1
lares,0.2.2
largo,0.0.2
laron-crypto,0.2.2
laron-wallet,0.1.2
last-git-commit,0.2.0
lastfm,0.4.0
laszip-sys,0.1.2
latera,0.0.1
lateral,0.3.1
latex_cleaner,1.3.0
latex_snippet,0.3.3
latexml-runner,0.1.6
lather,0.0.0
latte-cli,0.23.0
lattice-graph,0.6.1
lattice-qcd-rs,0.2.1
launch-services,0.0.2
launchpad,0.1.1
laurel,0.5.2
lava-api-mock,0.1.1
lava_torrent,0.11.1
lavendeux-parser,0.8.1
lawn,0.2.0
lawn-9p,0.2.0
lay-simulator-blueqat,0.1.0
layered-io,0.21.0
layout2d,0.1.2
lazy-panic,1.0.0
lazy-socket,0.3.0
lazylink,0.1.2
lazysort,0.2.1
lb,0.2.0
lb64,0.1.2
lbfgsb-sys,0.1.0
lc3_vm,0.1.0
lcm,0.2.0
lcms2,5.6.0
lcms2-sys,4.0.1
lcpc-2d,0.1.1
lcpc-brakedown-pc,0.1.1
lcpc-ligero-pc,0.1.1
ldap3_proto,0.3.2
ldk-node,0.1.0-alpha
ldpc,0.7.0
ldpc-toolbox,0.2.0
leaf,0.2.1
leak-detect-allocator,0.1.3
lean-sys,0.0.3
leanpub,0.1.4
leap-sys,0.2.0
leapcpp-sys,0.1.0
leapfrog,0.2.2
leaprs,0.1.2
learnrust,0.1.0
learntk,0.3.0
learnwy_bin_utils,0.2.0
ledb,0.4.0
ledcat,0.2.0
ledger,0.2.5
ledger-transport-hid,0.10.0
ledgrr,0.2.0
leetcode-cli,0.3.11
leetcode-picker,0.1.7
leetspeak,0.2.0
leetup,1.0.2
left-right,0.11.5
lefthk,0.1.8
leftwm,0.4.1
leftwm-core,0.4.1
legacylisten,0.3.0
legogroth16,0.7.0
legomushroom-tun,0.5.4
leguichet,0.1.9
leguichet-in,0.1.6
lemmy_api_common,0.17.2
lemmy_apub_lib,0.16.7
lemmy_utils,0.17.2
lenna_cli,0.1.7
lenna_core,0.2.0
lens-client,0.1.0
leo-errors,1.7.0
leo-parser,1.7.0
leo-passes,1.7.0
leonardo-heap,0.3.0
lepton-mux,0.0.1
lepton_jpeg,0.3.0
leptonica-plumbing,1.0.1
leptonica-sys,0.4.5
leptos_aria,0.0.0
leptos_reactive,0.3.0-alpha
leptos_router,0.3.0-alpha
lerni,0.0.1
lers,0.4.0
lethe,0.8.0
lettre,0.10.4
leveldb,0.8.6
leveldb-orm,0.1.5
leveldb-orm-derive,0.1.5
leveldb-rs,0.0.7
leveldb_minimal,0.1.0
levenberg-marquardt,0.13.0
levenshtein-diff,0.2.4
lever,0.1.4
lewp,0.3.0
lexicon_fractional_index,0.0.4-a1
lexpr,0.2.7
lf-queue,0.1.0
lfa,0.15.0
lfchring,0.1.3
lfest,0.33.5
lfs-core,0.11.1
lhapdf,0.2.2
li-http-types,2.12.0
liao-generator,0.1.2
lib-bn,0.4.4
lib-did,0.1.0
lib-hyper-organizator,0.2.1
lib-mal,0.5.1
lib-poki-launcher,0.5.0
lib-ruby-parser,4.0.4+ruby-3.1.1
lib-rv32-mcu,0.2.1
lib-sokoban,0.3.1
lib-wc,0.2.0
lib2048,0.0.2
lib3h,0.0.42
lib3h_crypto_api,0.0.42
lib3h_protocol,0.0.42
lib3h_sodium,0.0.42
lib3h_zombie_actor,0.0.42
libR-sys,0.4.0
libXNVCtrl-sys,1.29.2
lib_dice,0.1.0
lib_opnfi,0.0.1
lib_sens,0.1.4
lib_vminfo,1.1.3
lib_xalg,0.3.1
liba,0.1.1-rc3
libabieos-sys,0.3.7
libadwaita-sys,0.4.1
libaeron-sys,1.0.0+1.40.0
libaeron_driver-sys,1.0.0+1.40.0
libafl,0.10.0
libafl_frida,0.9.0
libaio,0.0.1
libaio-futures,0.2.3
libal,0.1.0
libalpm,0.1.2
libalpm-fork,0.1.4
libappindicator-sys,0.8.0
libarc,0.1.0
libarc2,0.2.0
libarchive,0.1.1
libargon2-sys,0.2.0
libargs,0.1.2
libaster,1.2.1
libastro,0.1.4
libasuran,0.0.3
libatasmart,0.3.1
libaudioverse,0.1.0
libaudioverse-sys,0.1.0
libawm,0.1.0
libblas-sys,0.1.0
libblkid-rs,0.3.0
libblkid-sys,0.1.0
libbluetooth,0.1.0
libbpf-rs,0.20.1
libbpf-sys,1.1.1+v1.1.0
libbtrfs,0.0.12
libbtrfsutil,0.5.2
libc-print,0.1.21
libc-strftime,0.2.0
libc_tools,0.1.3
libccp,1.1.1
libcec-sys,4.0.0
libceed,0.11.0
libcgroup,0.3.0
libcgroup-sys,0.3.0
libcgroup_rs,0.1.0
libcgroups,0.0.5
libcmark-sys,0.1.0
libcoap-rs,0.2.1
libcoap-sys,0.2.1+libcoap-4.3.1
libcoinche,0.4.0
libcontainer,0.0.5
